Section,Top [m],Bottom [m],"D, top [m]","D, bottom [m]",t [mm]
1,5.8,2.6,8,8,115
2,2.6,-0.6,8,8,115
3,-0.6,-3.8,8,8,125
4,-3.8,-7.3,8,8.44,125
5,-7.3,-10.8,8.44,8.88,106
6,-10.8,-14.3,8.88,9.31,116
7,-14.3,-17.8,9.31,9.75,103
8,-17.8,-21.3,9.75,10.19,98
9,-21.3,-24.8,10.19,10.63,98
10,-24.8,-28.3,10.63,11.06,98
11,-28.3,-31.8,11.06,11.5,98
12,-31.8,-35.3,11.5,11.5,98
13,-35.3,-38.6,11.5,11.5,100
14,-38.6,-41.9,11.5,11.5,98
15,-41.9,-45.2,11.5,11.5,95
16,-45.2,-48.5,11.5,11.5,95
17,-48.5,-51.7,11.5,11.5,95
18,-51.7,-55.3,11.5,11.5,93
19,-55.3,-59.3,11.5,11.5,93
20,-59.3,-63.3,11.5,11.5,93
21,-63.3,-67.3,11.5,11.5,93
22,-67.3,-71,11.5,11.5,96
23,-71,-74.3,11.5,11.5,96
24,-74.3,-77.44,11.5,11.5,100
25,-77.44,-80.44,11.5,11.5,105
