Identifier,Power [MW],Rotor Diameter [m],Mass [kg],Inertia [kg m^2],Offset TT_COG [m],comment
Siemens-3.6-120,3.6,120,237804,20595330,2.2,//
Bard-5.0-122,5,122,427397,37230240,3.2,//
Siemens-4.0-130,4,130,239664,23265890,2.2,//
"Aerodyn-6.0-142 , 2 Blade",6,142,312142,59416040,2.85,//
Siemens-8.0-164,8,164,450972,72350120,2.29,//
Vestas-9.5-174,9.5,174,484588,83636270,3.5,//
Vestas-10.0-180,10,180,673916,102240300,3.5,//
GE-13.0-210,13,210,777534,197394400,3.4,//
GE-12.0-220,12,220,775567,198819700,3.4,//
GE-15.0-220,15,220,1166238,205031400,3.4,//
Vestas,,236,565481,241746700,3.5,//
GE-15.0-240,15,240,1102065,276287200,3.4,//
