Section,Top [mLAT],Bottom [mLAT],[m],[m],[mm]
1 ,5.80,2.60,8.00,8.00,125
2 ,2.60,-0.60,8.00,8.00,116
3 ,-0.60,-3.80,8.00,8.00,125
4 ,-3.80,-7.30,8.00,8.44,125
5 ,-7.30,-10.80,8.44,8.88,106
6 ,-10.80,-14.30,8.88,9.31,116
7 ,-14.30,-17.80,9.31,9.75,103
8 ,-17.80,-21.30,9.75,10.19,98
9 ,-21.30,-24.80,10.19,10.63,98
10 ,-24.80,-28.30,10.63,11.06,98
11 ,-28.30,-31.80,11.06,11.50,98
12 ,-31.80,-35.30,11.50,11.50,98
13 ,-35.30,-38.60,11.50,11.50,100
14 ,-38.60,-41.90,11.50,11.50,98
15 ,-41.90,-45.20,11.50,11.50,95
16 ,-45.20,-48.50,11.50,11.50,95
17 ,-48.50,-51.70,11.50,11.50,95
18 ,-51.70,-55.30,11.50,11.50,93
19 ,-55.30,-59.30,11.50,11.50,93
20 ,-59.30,-63.30,11.50,11.50,93
21 ,-63.30,-67.30,11.50,11.50,93
22 ,-67.30,-71.00,11.50,11.50,96
23 ,-71.00,-74.30,11.50,11.50,100
24 ,-74.30,-77.43,11.50,11.50,110
25 ,-77.43,-80.43,11.50,11.50,122
